repayment_rate,payment_timeliness_ratio,avg_days_late,missed_payment_count,partial_payment_ratio,customer_tenure_days,num_transactions,avg_transaction_amount,credit_trend,is_january_window,is_default,archetype
0.0,0.5,0.0,4,0.0,14,4,21251.15,1.3425,0,0,moderate
0.8758,0.875,5.0,1,0.1111,196,9,21423.15,1.1495,1,0,reliable
1.0,0.5,34.0,0,0.0,68,2,5226.07,1.0,0,1,high_risk
0.7663,0.5,28.0,1,0.3333,190,3,18662.49,0.2444,0,1,moderate
0.6708,0.75,35.0,1,0.2,207,5,26726.43,1.3579,0,0,reliable
0.4677,0.0,104.0,2,0.25,215,4,20343.93,0.2051,0,1,high_risk
0.6846,0.8333,2.0,1,0.1429,312,7,18138.49,1.3612,0,0,reliable
0.6994,1.0,0.0,1,0.0,209,4,29222.89,1.2026,1,0,reliable
0.4206,0.0,12.33,3,0.0,37,6,13576.21,1.1255,0,0,reliable
0.9242,0.4444,12.4,1,0.1,216,10,19570.75,0.6686,0,1,reliable
0.3034,0.5,7.0,1,0.3333,212,3,15007.87,1.5623,0,1,moderate
0.8894,0.3333,6.0,1,0.1,42,10,20617.29,0.6633,0,1,reliable
0.7999,0.4,62.0,0,0.2,244,5,20783.39,1.3102,0,1,reliable
0.8634,0.6,6.0,2,0.0,30,7,13682.81,0.4782,0,0,reliable
1.0,0.875,12.0,0,0.0,158,8,17556.2,1.8165,0,0,reliable
0.2295,1.0,0.0,7,0.0,62,10,24842.08,1.1177,0,0,reliable
0.9513,0.8333,47.0,0,0.1667,309,6,22132.05,1.4047,0,0,reliable
0.7105,0.5714,14.67,2,0.1111,94,9,21291.49,0.8685,0,0,reliable
0.1269,0.0,8.0,5,0.1667,34,6,28554.38,1.269,0,0,moderate
0.5951,1.0,0.0,3,0.0,78,6,23226.45,0.5351,0,0,reliable
0.9049,0.5,14.0,1,0.0,152,3,15006.37,0.2852,0,0,moderate
0.689,0.3333,14.25,1,0.1429,70,7,12826.7,1.3803,0,0,reliable
0.5088,0.0,27.25,1,0.2,127,5,12588.47,0.2154,0,1,moderate
0.0,0.5,0.0,3,0.0,320,3,11497.36,1.8071,0,1,high_risk
1.0,0.6667,4.5,0,0.0,150,6,21976.2,1.0074,0,0,reliable
0.9245,0.4444,11.2,1,0.0,144,10,25261.56,0.9058,0,0,reliable
1.0,1.0,0.0,0,0.0,23,4,20883.53,1.3047,0,1,reliable
0.2765,0.0,116.0,1,0.5,174,2,20186.25,1.0,0,1,moderate
0.4203,0.0,3.0,2,0.0,83,3,23496.26,1.5946,0,0,reliable
0.672,0.3333,7.5,1,0.25,59,4,26106.61,1.0806,0,0,reliable
0.7466,0.0,106.4,2,0.1429,331,7,18271.33,0.8856,0,1,moderate
0.0,0.5,0.0,4,0.0,31,4,22566.06,1.7719,0,1,high_risk
0.6826,0.0,75.17,2,0.125,253,8,20423.04,1.1676,0,1,moderate
0.4981,0.6,14.0,3,0.125,171,8,26084.33,1.3407,0,0,reliable
0.0,0.5,0.0,3,0.0,42,3,28870.62,0.3422,0,1,high_risk
0.0,0.5,0.0,4,0.0,146,4,23574.75,1.5888,0,1,high_risk
0.6943,0.3333,33.5,1,0.25,252,4,24147.68,1.1065,0,0,reliable
0.8707,0.8571,16.0,0,0.1429,60,7,21009.85,0.7742,0,0,reliable
0.7827,0.0,79.5,3,0.1429,240,7,20917.1,0.6397,0,0,reliable
0.0,0.5,0.0,4,0.0,33,4,25852.99,0.5862,0,1,moderate
0.7662,1.0,0.0,1,0.25,273,4,20601.74,0.685,0,0,reliable
1.0,0.3333,6.5,0,0.0,184,6,19389.1,1.4027,0,0,reliable
0.7064,0.3333,29.5,3,0.1111,269,9,20699.99,0.8106,0,0,reliable
0.4575,0.0,7.0,2,0.0,42,4,28364.48,1.1008,0,1,reliable
0.3983,0.25,33.33,3,0.1429,156,7,15166.81,1.4679,0,1,moderate
0.8884,0.6667,12.0,0,0.1667,208,6,23436.87,1.3937,0,0,reliable
0.4971,0.5,50.0,2,0.25,264,4,29835.26,1.0507,0,0,reliable
0.4783,0.8,5.0,2,0.0,136,7,17309.91,1.8258,0,0,reliable
0.2426,0.0,25.0,1,0.5,195,2,15043.34,1.0,0,1,high_risk
1.0,0.6667,6.33,0,0.0,218,9,22835.93,0.8252,0,1,reliable
0.6624,0.6,4.5,2,0.1429,44,7,29988.98,1.0019,0,1,reliable
0.791,0.5,10.0,1,0.0,77,7,20325.66,1.1415,0,0,reliable
0.9742,0.25,60.67,0,0.25,240,4,18644.69,1.3025,0,1,reliable
1.0,1.0,0.0,0,0.0,157,3,13029.03,1.2381,0,0,reliable
0.5454,0.5,8.67,3,0.1111,47,9,10401.11,0.9498,0,0,reliable
0.7823,0.375,7.0,1,0.1111,37,9,21060.7,0.9644,0,0,reliable
0.6352,0.6667,12.5,4,0.1,92,10,19106.67,0.9724,0,0,reliable
0.3276,0.75,5.0,5,0.1111,14,9,19899.51,1.1536,0,0,reliable
0.7865,0.6,6.0,2,0.0,50,7,18768.11,0.7472,0,1,reliable
0.632,0.0,5.0,1,0.0,84,4,22893.67,1.4719,1,0,reliable
1.0,0.75,2.0,0,0.0,209,4,20172.55,0.5467,0,1,reliable
0.5078,0.2,74.5,3,0.125,202,8,20549.56,1.1181,0,1,moderate
0.3333,0.0,143.0,3,0.2,213,5,20149.98,1.3449,0,1,high_risk
0.9432,0.6667,2.0,1,0.0,214,4,17832.83,0.2274,0,0,reliable
0.9085,0.4,9.33,0,0.2,81,5,18069.85,1.5691,0,0,reliable
1.0,0.8,2.0,0,0.0,65,5,28296.84,1.1862,0,0,reliable
0.9595,0.25,8.0,0,0.125,101,8,19392.19,0.7503,0,0,reliable
0.6194,1.0,0.0,1,0.0,170,3,32844.82,1.1419,0,1,reliable
0.7644,0.3333,13.75,1,0.1429,185,7,26222.75,1.3225,0,0,reliable
0.8332,0.3333,8.25,1,0.1429,90,7,23278.96,0.7792,0,0,reliable
0.9556,0.6667,17.33,1,0.1,266,10,24057.73,0.4815,0,0,reliable
0.7252,0.6,29.0,2,0.1429,272,7,15903.4,0.4869,0,0,reliable
1.0,0.0,54.0,0,0.0,208,2,13609.05,1.0,0,1,high_risk
0.8626,1.0,0.0,1,0.0,323,4,9621.39,0.5495,0,0,reliable
0.4284,1.0,0.0,2,0.1667,44,6,20784.69,1.4985,0,0,reliable
0.7375,0.0,41.4,2,0.1429,227,7,23234.79,0.9064,0,1,moderate
0.3631,0.0,19.0,4,0.1429,61,7,16888.34,1.4498,0,1,moderate
0.8643,0.5714,7.67,1,0.0,304,8,20127.05,1.3029,0,0,reliable
0.7116,0.3333,11.5,1,0.25,53,4,22377.84,0.7911,0,0,moderate
1.0,1.0,0.0,0,0.0,171,4,17314.93,0.1984,0,0,reliable
1.0,0.25,7.67,0,0.0,293,4,24629.37,0.5352,0,1,reliable
1.0,0.5,1.5,0,0.0,104,4,26733.24,0.9755,0,0,reliable
0.7685,0.3333,24.0,0,0.3333,129,3,29819.03,1.2645,0,0,moderate
0.6346,0.3333,5.75,3,0.1111,45,9,20874.49,0.5787,0,0,reliable
0.636,0.4286,9.5,2,0.1111,238,9,16475.1,1.5676,0,0,reliable
0.0,0.5,0.0,3,0.0,301,3,13412.35,1.6652,0,0,high_risk
1.0,0.8333,2.0,0,0.0,151,6,16949.75,1.125,0,0,reliable
0.6277,1.0,0.0,1,0.0,93,3,34491.51,1.117,0,0,reliable
0.7177,0.4,15.33,1,0.1667,247,6,15379.81,1.0472,0,0,reliable
0.3717,0.0,49.5,3,0.2,164,5,18783.25,1.5882,0,0,moderate
0.6138,0.4,11.0,2,0.1429,152,7,25028.84,0.9412,0,0,moderate
0.4971,0.0,62.0,2,0.1667,184,6,22782.27,1.0617,0,0,moderate
0.195,1.0,0.0,6,0.125,66,8,11753.51,2.277,0,0,moderate
0.9622,0.3333,13.0,1,0.0,71,4,18037.92,0.1511,0,0,moderate
1.0,0.6667,12.67,0,0.0,194,9,19224.11,1.1988,0,0,reliable
0.7614,0.7143,6.0,1,0.125,265,8,20533.67,1.363,0,0,reliable
0.7684,0.5714,9.67,1,0.125,74,8,19774.8,1.6246,0,0,reliable
0.2668,0.3333,95.0,1,0.25,217,4,18168.04,2.0351,0,0,moderate
0.8903,0.5,7.33,0,0.1667,162,6,20877.72,1.1798,0,0,reliable
0.791,0.8571,2.0,2,0.0,170,9,25902.56,0.9241,0,0,reliable
0.8156,0.75,4.5,1,0.1111,115,9,18834.83,0.8644,0,0,reliable
0.6138,0.6667,2.0,1,0.0,301,4,20663.93,1.5446,0,0,reliable
0.673,0.0,77.5,2,0.125,260,8,21191.26,1.102,0,0,moderate
0.3519,0.25,66.33,3,0.1429,161,7,20300.97,1.3321,0,0,moderate
0.7525,0.0,28.4,1,0.1667,174,6,16893.97,0.9172,0,0,reliable
0.6846,0.6,19.0,2,0.0,220,7,22915.31,1.1039,1,0,reliable
0.9362,0.3333,17.0,0,0.1667,124,6,23489.77,0.9636,0,1,moderate
0.1357,1.0,0.0,2,0.0,98,3,21397.59,1.788,0,0,reliable
0.756,0.0,54.75,2,0.1,266,10,18134.01,0.9436,0,0,reliable
0.8396,0.1667,31.6,1,0.1429,185,7,14271.63,0.856,0,1,moderate
0.9091,0.2857,23.6,1,0.125,125,8,22410.95,0.7033,0,0,reliable
0.9312,0.5,17.25,0,0.125,330,8,22525.12,1.3088,0,1,moderate
0.0,0.5,0.0,4,0.0,25,4,22273.0,1.744,0,1,high_risk
0.1285,1.0,0.0,2,0.3333,76,3,16711.12,0.3855,0,0,moderate
0.8557,1.0,0.0,2,0.0,85,4,12189.02,0.3357,0,0,reliable
0.4789,0.0,59.75,2,0.1667,180,6,21859.71,1.4959,0,1,high_risk
0.9297,0.9,10.0,0,0.1,240,10,20017.34,0.9875,0,0,reliable
0.0374,1.0,0.0,3,0.25,38,4,18160.55,1.3397,0,0,high_risk
0.7603,0.4,16.33,4,0.1111,96,9,15969.47,0.4591,0,0,reliable
0.8921,0.4286,21.75,1,0.125,159,8,23172.62,0.9945,0,0,reliable
0.6166,0.5,13.0,3,0.1111,83,9,10594.97,1.1299,0,1,reliable
0.7857,0.5,11.0,0,0.5,101,2,23517.18,1.0,0,0,moderate
0.7818,0.3333,45.5,1,0.25,221,4,18846.62,0.7486,0,0,moderate
0.512,1.0,0.0,0,0.5,41,2,24278.89,1.0,0,1,moderate
0.6974,0.25,13.67,1,0.0,149,5,19836.09,1.5131,0,0,moderate
0.0084,0.0,11.0,3,0.25,103,4,24435.42,0.8693,0,1,high_risk
0.7129,0.0,14.57,3,0.1,213,10,22108.4,0.6933,0,0,reliable
0.2638,0.0,37.0,1,0.3333,141,3,8135.98,1.7078,0,0,moderate
0.7522,0.5714,12.67,1,0.125,287,8,21149.72,1.6386,0,0,reliable
0.5312,0.0,70.0,1,0.5,93,2,20486.01,1.0,0,1,moderate
0.2182,0.0,10.5,4,0.1667,58,6,25630.89,1.2294,0,0,moderate
0.3646,1.0,0.0,4,0.0,76,5,15603.94,1.1894,0,0,moderate
0.1545,0.0,210.5,5,0.1429,330,7,22136.37,1.1674,0,0,high_risk
0.2032,0.0,87.0,4,0.2,246,5,29342.15,1.1039,0,0,high_risk
0.4561,0.0,7.0,1,0.5,104,2,29146.16,1.0,1,0,high_risk
1.0,1.0,0.0,0,0.0,191,3,28920.08,1.2754,0,0,reliable
0.8848,0.6667,4.0,1,0.0,146,7,18534.39,1.474,0,1,reliable
0.2013,1.0,0.0,3,0.0,192,4,22532.81,0.8549,1,0,reliable
0.7727,0.2857,14.4,1,0.125,179,8,24406.99,1.1494,0,0,moderate
1.0,0.7,22.67,0,0.0,236,10,17785.0,1.0462,0,0,reliable
0.0,0.5,0.0,4,0.0,33,4,14226.63,1.3318,0,1,high_risk
1.0,0.5,27.0,0,0.0,167,4,23613.13,1.0671,0,0,moderate
0.561,0.75,1.0,3,0.1429,87,7,20596.73,1.144,0,1,reliable
0.7694,0.1111,22.88,1,0.1,175,10,20876.34,1.6931,0,0,reliable
0.58,0.8333,5.0,3,0.1111,18,9,24449.89,1.1098,0,0,reliable
0.7983,0.3333,34.75,1,0.1429,158,7,21228.17,0.9673,0,1,moderate
0.8782,0.5714,26.33,0,0.1429,217,7,25491.18,0.897,0,0,reliable
0.9083,0.1429,21.5,1,0.125,217,8,20263.34,0.601,0,1,reliable
0.5717,0.6667,5.0,3,0.0,115,6,19060.0,0.984,0,1,reliable
0.6626,0.4,24.67,2,0.1429,111,7,24447.93,0.7492,0,0,reliable
0.1355,1.0,0.0,6,0.0,19,7,17695.92,0.8974,0,0,reliable
1.0,1.0,0.0,0,0.0,316,3,14886.79,2.1554,0,0,reliable
